feature,feature_level,band,node_1,node_2,n_ADHD,n_Control,ADHD_mean_r,Control_mean_r,mean_difference_r,ADHD_median_r,Control_median_r,ADHD_mean_z,Control_mean_z,U_statistic,p_value,cohen_d_z,abs_cohen_d_z,rank_biserial,abs_rank_biserial,p_fdr_all,p_fdr_within_level,p_fdr_within_level_band,significant_uncorrected,significant_fdr_all,significant_fdr_within_level,significant_fdr_within_level_band,direction
Fp1_P4_theta_connectivity,channel,theta,Fp1,P4,61,60,-0.5712878924924893,-0.5282708451046305,-0.04301704738785883,-0.5757336940668911,-0.5465399310873864,-0.6849894877613801,-0.6201883247253115,1598.0,0.23009650880816201,-0.2514098658735132,0.2514098658735132,-0.12677595628415306,0.12677595628415306,0.4478222375728744,0.44585272528267084,0.5246200400826094,False,False,False,False,Control > ADHD
Fp2_Fz_theta_connectivity,channel,theta,Fp2,Fz,61,60,0.15905555693487655,0.22028913842178263,-0.06123358148690608,0.192994376477404,0.2491427495274927,0.16867561178135826,0.2670607538340583,1648.0,0.34675241479237806,-0.24964566643263272,0.24964566643263272,-0.09945355191256833,0.09945355191256833,0.5824796944540179,0.5798989039559574,0.6375770207472757,False,False,False,False,Control > ADHD
P7_Fz_alpha_connectivity,channel,alpha,P7,Fz,61,60,-0.31577416077236764,-0.2608656970819825,-0.054908463690385156,-0.3748188511916218,-0.2981473781984665,-0.33879065562161287,-0.2804615551254192,1616.0,0.2683816272927607,-0.24930543356550197,0.24930543356550197,-0.11693989071038247,0.11693989071038247,0.5060111931248926,0.5029398166253379,0.49347589534475356,False,False,False,False,Control > ADHD
Fp1_P8_alpha_connectivity,channel,alpha,Fp1,P8,61,60,-0.20480561615455412,-0.25269705907622314,0.047891442921669025,-0.1992431661194369,-0.25173566026783545,-0.216875379353193,-0.270587837128069,2111.0,0.14591045677745013,0.248735607219987,0.248735607219987,0.15355191256830603,0.15355191256830603,0.3396757900542569,0.34062372844974703,0.33596454671784887,False,False,False,False,ADHD > Control
Fp2_F8_theta_connectivity,channel,theta,Fp2,F8,61,60,0.4865523049491999,0.5440918764478642,-0.05753957149866429,0.5591839120673503,0.5905396619248957,0.591895226571892,0.6888510172592105,1594.0,0.2221441291294125,-0.24685273800028323,0.24685273800028323,-0.12896174863387977,0.12896174863387977,0.44576426088942844,0.4443294203667481,0.5246200400826094,False,False,False,False,Control > ADHD
Fp2_F3_theta_connectivity,channel,theta,Fp2,F3,61,60,0.09023289362693783,0.016289770275426076,0.07394312335151175,0.110344413036712,0.0842503512526094,0.09265073262285195,0.0129562639469273,2119.0,0.13475745084283458,0.2463515589625881,0.2463515589625881,0.15792349726775967,0.15792349726775967,0.3284996444788291,0.32919320134463875,0.4189731653477221,False,False,False,False,ADHD > Control
T7_Pz_delta_connectivity,channel,delta,T7,Pz,61,60,0.08441234490510717,0.16517378700418595,-0.08076144209907878,0.0388495165002013,0.07710519404319345,0.10966964809633681,0.22190377200621259,1598.0,0.23009650880816201,-0.24613558439337677,0.24613558439337677,-0.12677595628415306,0.12677595628415306,0.4478222375728744,0.44585272528267084,0.7026161251106376,False,False,False,False,Control > ADHD
P4_F7_delta_connectivity,channel,delta,P4,F7,61,60,-0.43596053361353754,-0.518924472085713,0.08296393847217548,-0.4151330286193709,-0.5390208950318287,-0.5384296896533263,-0.6322489657591535,2154.0,0.09353388353622898,0.24479779629768034,0.24479779629768034,0.17704918032786887,0.17704918032786887,0.25846767816881594,0.2611313319950229,0.5998003556882329,False,False,False,False,ADHD > Control
F3_Pz_delta_connectivity,channel,delta,F3,Pz,61,60,-0.013157470539502641,0.0858788513366996,-0.09903632187620225,-0.129262671370453,-0.0014267127296925999,0.0065484623649309775,0.12003129660883123,1478.0,0.06842499331628256,-0.2420621670161373,0.2420621670161373,-0.1923497267759563,0.1923497267759563,0.20056556745339504,0.20348998012320552,0.5631372897994167,False,False,False,False,Control > ADHD
Fp2_Pz_beta_connectivity,channel,beta,Fp2,Pz,61,60,-0.4409711877597319,-0.41178916076970407,-0.02918202699002781,-0.4430170424937826,-0.4139975953846826,-0.48835581254568106,-0.446772925417075,1627.0,0.29382272072594395,-0.24097742913016498,0.24097742913016498,-0.11092896174863387,0.11092896174863387,0.5265535886276818,0.5220123142247939,0.37217544625286236,False,False,False,False,Control > ADHD
temporal_parietal_theta_connectivity,regional,theta,temporal,parietal,61,60,0.022513063386465942,-0.036590605243646164,0.059103668630112106,0.0361992221739201,-0.0530539870742189,0.02389502108644947,-0.036774890732821225,2111.0,0.14591045677745013,0.2408366275624936,0.2408366275624936,0.15355191256830603,0.15355191256830603,0.3396757900542569,0.3242454595054447,0.24318409462908355,False,False,False,False,ADHD > Control
C3_P4_delta_connectivity,channel,delta,C3,P4,61,60,-0.34489443688770427,-0.43531234676842867,0.0904179098807244,-0.3155761706640968,-0.4153943168873808,-0.4376250743551421,-0.5481604713727842,2168.0,0.08018376184577798,0.23992650414835903,0.23992650414835903,0.18469945355191264,0.18469945355191264,0.22676970147009087,0.2294798874582098,0.5961488380707841,False,False,False,False,ADHD > Control
F4_T7_theta_connectivity,channel,theta,F4,T7,61,60,-0.2934941862444966,-0.34065889998715165,0.04716471374265507,-0.3076606118469238,-0.3560978333585604,-0.3163683900333875,-0.37925195179742477,2058.0,0.23824926543288216,0.23986464423540704,0.23986464423540704,0.12459016393442623,0.12459016393442623,0.4599799151290845,0.4577598245957623,0.536060847223985,False,False,False,False,ADHD > Control
C3_O2_theta_connectivity,channel,theta,C3,O2,61,60,-0.4188040672314345,-0.46412316462782843,0.04531909739639395,-0.4511328257549828,-0.44985085885265674,-0.4704620217542108,-0.5269552684775956,2062.0,0.23009650880816201,0.23730867642337866,0.23730867642337866,0.12677595628415306,0.12677595628415306,0.4478222375728744,0.44585272528267084,0.5246200400826094,False,False,False,False,ADHD > Control
Fp1_Fz_theta_connectivity,channel,theta,Fp1,Fz,61,60,0.5260546812342015,0.5453277781776289,-0.01927309694342738,0.536981854742204,0.5833935442948692,0.6239502245218419,0.7124593881345176,1643.0,0.33363026751762515,-0.23457313521165693,0.23457313521165693,-0.1021857923497268,0.1021857923497268,0.5683489733712014,0.5662608014443067,0.6318144388431522,False,False,False,False,Control > ADHD
F3_P4_theta_connectivity,channel,theta,F3,P4,61,60,-0.5725642064219971,-0.5270580641178294,-0.04550614230416772,-0.5804585615911225,-0.5094195253541607,-0.6692551164500624,-0.6181826322883133,1488.0,0.07666767427328977,-0.2324769990318926,0.2324769990318926,-0.18688524590163935,0.18688524590163935,0.21853305580260549,0.2212687308140515,0.33615826412134747,False,False,False,False,Control > ADHD
O2_Fz_theta_connectivity,channel,theta,O2,Fz,61,60,-0.5702521515123631,-0.5330449948371768,-0.03720715667518626,-0.5590367279442967,-0.5433642793080649,-0.6654896826418384,-0.6188898548176113,1567.0,0.1735717791088086,-0.23193404100113943,0.23193404100113943,-0.14371584699453555,0.14371584699453555,0.3808059638629619,0.3816812340346792,0.4787221649613915,False,False,False,False,Control > ADHD
C4_T7_alpha_connectivity,channel,alpha,C4,T7,61,60,-0.343301955787344,-0.2965756086254057,-0.0467263471619383,-0.3506711447015937,-0.28337762983433423,-0.37198600946587557,-0.32135485583235085,1574.0,0.18532782520903357,-0.23118099375579187,0.23118099375579187,-0.13989071038251366,0.13989071038251366,0.39233141944836347,0.3924589239720711,0.3772745013183898,False,False,False,False,Control > ADHD
P3_P8_theta_connectivity,channel,theta,P3,P8,61,60,-0.1906321489216687,-0.12223155901403672,-0.06840058990763197,-0.1786807021662002,-0.12955485311056641,-0.20363092179999268,-0.13675435202864347,1625.0,0.28908062807213475,-0.23099596516065637,0.23099596516065637,-0.11202185792349728,0.11202185792349728,0.5232359368105639,0.5189793952791081,0.5869362892535104,False,False,False,False,Control > ADHD
F7_Fz_delta_connectivity,channel,delta,F7,Fz,61,60,0.2738652600816343,0.34328657211021607,-0.06942131202858176,0.2225121401871846,0.39445881122580273,0.3264254862224176,0.4257648646394588,1572.0,0.18191042067901753,-0.23026175266687604,0.23026175266687604,-0.14098360655737707,0.14098360655737707,0.390810518016643,0.39125062876504707,0.697730287964334,False,False,False,False,Control > ADHD
F3_F4_alpha_connectivity,channel,alpha,F3,F4,61,60,0.20131622106046743,0.2603181692552892,-0.059001948194821796,0.2246882728842689,0.3021469077808481,0.2189343793537112,0.28744350143469305,1595.0,0.22411352343059665,-0.22847305617730687,0.22847305617730687,-0.12841530054644812,0.12841530054644812,0.44576426088942844,0.4443294203667481,0.42581569451813367,False,False,False,False,Control > ADHD
O1_F8_theta_connectivity,channel,theta,O1,F8,61,60,-0.2986565594837126,-0.33967838570081427,0.04102182621710165,-0.2868222323110622,-0.35121854411707354,-0.3213950581565858,-0.3688991146103236,2087.0,0.18361323367482474,0.22844110402512052,0.22844110402512052,0.1404371584699453,0.1404371584699453,0.39098817994286206,0.39125062876504707,0.49837877711738143,False,False,False,False,ADHD > Control
P7_P8_theta_connectivity,channel,theta,P7,P8,61,60,0.18953109637580162,0.12136401992586705,0.06816707644993457,0.2204048957281841,0.16490728822262546,0.20504205473361167,0.13084634972431947,2070.0,0.21439053614893144,0.22844086438903233,0.22844086438903233,0.13114754098360648,0.13114754098360648,0.43971316762557044,0.4390394859541623,0.5246200400826094,False,False,False,False,ADHD > Control
F3_P8_delta_connectivity,channel,delta,F3,P8,61,60,-0.5183730622346497,-0.5683175076138114,0.04994444537916165,-0.4899867143901063,-0.5715938750341084,-0.6446092138789226,-0.7380038810356891,2065.0,0.22411352343059665,0.22773119506834258,0.22773119506834258,0.12841530054644812,0.12841530054644812,0.44576426088942844,0.4443294203667481,0.7026161251106376,False,False,False,False,ADHD > Control
Fp2_F7_alpha_connectivity,channel,alpha,Fp2,F7,61,60,0.15494460944449098,0.09636221171598873,0.05858239772850225,0.170123663063436,0.15614840276884046,0.168556956993371,0.10130616758313864,2025.0,0.3133104591507382,0.22722397500366276,0.22722397500366276,0.10655737704918034,0.10655737704918034,0.5465946323497215,0.5425426685040631,0.541172611260366,False,False,False,False,ADHD > Control
Fp1_C4_alpha_connectivity,channel,alpha,Fp1,C4,61,60,-0.2913251032781744,-0.2258134365298051,-0.06551166674836931,-0.2827924392138627,-0.21116712298524754,-0.3098003943132058,-0.2530390469980694,1481.0,0.07081756789913284,-0.22418121359315796,0.22418121359315796,-0.19071038251366124,0.19071038251366124,0.20591132192358302,0.20878972604744336,0.21489053257987895,False,False,False,False,Control > ADHD
Fp2_T7_delta_connectivity,channel,delta,Fp2,T7,61,60,-0.3346184532525112,-0.39726501906206413,0.06264656580955291,-0.3231936480537098,-0.3731374123884365,-0.40427339188152245,-0.5019476201548125,2052.0,0.2508572538173932,0.22344503363072818,0.22344503363072818,0.12131147540983611,0.12131147540983611,0.48047791471902823,0.4779564390281252,0.7299122753790029,False,False,False,False,ADHD > Control
F7_Cz_alpha_connectivity,channel,alpha,F7,Cz,61,60,-0.26385415155110353,-0.21687599616928532,-0.04697815538181821,-0.2641355769100292,-0.21006279762227945,-0.2780143927727302,-0.2324680879592019,1530.0,0.1205123931889829,-0.22312055792842136,0.22312055792842136,-0.16393442622950816,0.16393442622950816,0.3105016820954577,0.3122366550805466,0.31704029592793964,False,False,False,False,Control > ADHD
C3_T8_theta_connectivity,channel,theta,C3,T8,61,60,-0.3827699122447915,-0.3230870212303746,-0.05968289101441693,-0.3512839621136752,-0.2947687904704902,-0.4338583076437298,-0.3668556568429425,1567.0,0.1735717791088086,-0.2227192395790055,0.2227192395790055,-0.14371584699453555,0.14371584699453555,0.3808059638629619,0.3816812340346792,0.4787221649613915,False,False,False,False,Control > ADHD
C3_O2_delta_connectivity,channel,delta,C3,O2,61,60,-0.4117726395131747,-0.4726746645179967,0.060902025004822,-0.4251667235676362,-0.4980539555017731,-0.5039993315113108,-0.5991102002526101,2122.0,0.13074922006024675,0.2223835185709821,0.2223835185709821,0.15956284153005473,0.15956284153005473,0.32418642234115974,0.32520896916803194,0.6238719555367018,False,False,False,False,ADHD > Control
F7_T7_alpha_connectivity,channel,alpha,F7,T7,61,60,0.3803998429578737,0.3115683447247715,0.0688314982331022,0.3218673280823675,0.28431034695031243,0.44527653005026324,0.3656575591604599,2107.0,0.15174553757509465,0.22223798472157968,0.22223798472157968,0.1513661202185792,0.1513661202185792,0.34440053042121793,0.34483039103443436,0.3369933366927427,False,False,False,False,ADHD > Control
Fp2_T7_theta_connectivity,channel,theta,Fp2,T7,61,60,-0.21535532873046698,-0.26768185825769336,0.052326529527226384,-0.2549019677427038,-0.2315069906859621,-0.23153007483061086,-0.2984492207034287,1971.0,0.4663928297751192,0.2206038316545366,0.2206038316545366,0.07704918032786878,0.07704918032786878,0.6891192015452782,0.6920015088203505,0.712081909745941,False,False,False,False,ADHD > Control
F4_Pz_alpha_connectivity,channel,alpha,F4,Pz,61,60,-0.5064044251310126,-0.4700185206896388,-0.036385904441373795,-0.5182776918111498,-0.4610930003921533,-0.5723459231810399,-0.5299773942846859,1532.0,0.12301082162196554,-0.21999818435840623,0.21999818435840623,-0.16284153005464486,0.16284153005464486,0.31359096779684176,0.3151288464023387,0.3187098560205471,False,False,False,False,Control > ADHD
O2_F7_delta_connectivity,channel,delta,O2,F7,61,60,-0.4164237430429299,-0.47607107653585545,0.05964733349292556,-0.3727960812395817,-0.4708593032568925,-0.49497031505383016,-0.5718046611279657,2117.0,0.13748193097416153,0.21891035758907965,0.21891035758907965,0.15683060109289615,0.15683060109289615,0.3317897267509765,0.33228848334390987,0.6238719555367018,False,False,False,False,ADHD > Control
O2_P8_alpha_connectivity,channel,alpha,O2,P8,61,60,0.4726534920787659,0.5111087521090946,-0.038455260030328675,0.5077833178802498,0.5043826580572053,0.540204067028257,0.5967806535282748,1758.0,0.7108904781000572,-0.218203013770473,0.218203013770473,-0.03934426229508192,0.03934426229508192,0.857807843574069,0.8606178531335206,0.8383604948628262,False,False,False,False,Control > ADHD
C3_P8_alpha_connectivity,channel,alpha,C3,P8,61,60,-0.43202432678510044,-0.3966824651101383,-0.035341861674962116,-0.4355459059859602,-0.39700501651313025,-0.4789177058280915,-0.4353895994088615,1573.0,0.18361323367482474,-0.21797396543879236,0.21797396543879236,-0.1404371584699453,0.1404371584699453,0.39098817994286206,0.39125062876504707,0.3772745013183898,False,False,False,False,Control > ADHD
F4_Fz_alpha_connectivity,channel,alpha,F4,Fz,61,60,0.42253716479896836,0.36404223253319157,0.05849493226577679,0.4935900953566686,0.40668742556443194,0.4866234810543553,0.4166886825030955,2074.0,0.20683401059630513,0.2177580566012521,0.2177580566012521,0.1333333333333333,0.1333333333333333,0.4303098381371406,0.43001356610295655,0.4161013624937433,False,False,False,False,ADHD > Control
F3_T8_theta_connectivity,channel,theta,F3,T8,61,60,-0.3585947145141987,-0.30694442420691154,-0.05165029030728718,-0.3682666837843905,-0.3059574096508675,-0.39844254254043193,-0.34088823409689833,1548.0,0.1444788746311423,-0.2174251634911124,0.2174251634911124,-0.15409836065573768,0.15409836065573768,0.3396757900542569,0.34062372844974703,0.43343662389342696,False,False,False,False,Control > ADHD
C4_Cz_theta_connectivity,channel,theta,C4,Cz,61,60,0.5545120499787158,0.6076660266122788,-0.053153976633562916,0.6282166532429706,0.6304855992530577,0.6998735628191571,0.7834115603503208,1711.0,0.5390096262635551,-0.2148785900481518,0.2148785900481518,-0.06502732240437159,0.06502732240437159,0.7419067859597223,0.7433116620247413,0.7680887174255661,False,False,False,False,Control > ADHD
Fp1_F4_theta_connectivity,channel,theta,Fp1,F4,61,60,0.1228174832285871,0.05168145447924257,0.07113602874934452,0.1829316678778496,0.151202601277766,0.1235741189719677,0.05184454151610647,2073.0,0.20870476563367135,0.2145295376720078,0.2145295376720078,0.13278688524590154,0.13278688524590154,0.43295773730308895,0.43258805967706426,0.5246200400826094,False,False,False,False,ADHD > Control
O1_T7_theta_connectivity,channel,theta,O1,T7,61,60,0.04750400364851642,0.09456328845728289,-0.04705928480876647,0.0392039644260819,0.0634770097667665,0.04897858957557479,0.10085912274665151,1609.0,0.2530030469301848,-0.2143443176818889,0.2143443176818889,-0.12076502732240435,0.12076502732240435,0.48330925060014196,0.4807057891673512,0.5618639094163845,False,False,False,False,Control > ADHD
F4_Fz_delta_connectivity,channel,delta,F4,Fz,61,60,0.07906558580073594,-0.011845269092346745,0.09091085489308269,0.2522128436461539,0.058743508191742,0.07815235870165962,-0.03336051450462809,2107.0,0.15174553757509465,0.21351989646112998,0.21351989646112998,0.1513661202185792,0.1513661202185792,0.34440053042121793,0.34483039103443436,0.6238719555367018,False,False,False,False,ADHD > Control
F4_F7_theta_connectivity,channel,theta,F4,F7,61,60,-0.051731633861727924,-0.10486561047065242,0.053133976608924494,-0.0107569246382749,-0.07348804565141959,-0.05923068557963785,-0.11800093192731072,2075.0,0.20497545767146974,0.21192168022060262,0.21192168022060262,0.13387978142076506,0.13387978142076506,0.42767213646727403,0.42744882026611375,0.5246200400826094,False,False,False,False,ADHD > Control
O2_P7_alpha_connectivity,channel,alpha,O2,P7,61,60,0.037527598500338696,0.08065731248890015,-0.043129713988561455,0.0582958094441044,0.1033494197100179,0.03803715771193358,0.08456494284395354,1589.0,0.21248299960599615,-0.21047086638742418,0.21047086638742418,-0.13169398907103824,0.13169398907103824,0.4382840219793197,0.4377661799111487,0.41659979183485546,False,False,False,False,Control > ADHD
Fp1_F4_alpha_connectivity,channel,alpha,Fp1,F4,61,60,0.16776234910115903,0.11070847233749151,0.05705387676366752,0.2245398178728034,0.1314528523545698,0.17859434568830124,0.11783925428220718,2042.0,0.27289105350789145,0.20964770698973892,0.20964770698973892,0.11584699453551917,0.11584699453551917,0.5105248649604998,0.5072214146722765,0.49642946967924934,False,False,False,False,ADHD > Control
Fp2_F3_delta_connectivity,channel,delta,Fp2,F3,61,60,-0.06290834984957755,-0.16293835010820126,0.10003000025862371,-0.0315161208408373,-0.16047187586151265,-0.09679077109682643,-0.20413463587670716,2123.0,0.12943389287613205,0.2095566180665094,0.2095566180665094,0.16010928961748627,0.16010928961748627,0.32313840842179176,0.32429590742591324,0.6238719555367018,False,False,False,False,ADHD > Control
T7_T8_delta_connectivity,channel,delta,T7,T8,61,60,-0.16122234487027012,-0.23370643503401403,0.07248409016374391,-0.1652663990321157,-0.1932229555458386,-0.2025474958747314,-0.31230826193587735,2008.0,0.35748342803056465,0.20901516597652983,0.20901516597652983,0.0972677595628415,0.0972677595628415,0.594983912400296,0.5934919047886074,0.7641208274153319,False,False,False,False,ADHD > Control
Fp2_Fz_alpha_connectivity,channel,alpha,Fp2,Fz,61,60,0.23183741673297242,0.27665449478862725,-0.044817078055654824,0.2208302024664941,0.3131979871545084,0.24896254234075132,0.3165168874348935,1624.0,0.2867290248653712,-0.20895270588764958,0.20895270588764958,-0.11256830601092893,0.11256830601092893,0.5215874723681627,0.5174740184905381,0.5096163649519077,False,False,False,False,Control > ADHD
O1_Pz_theta_connectivity,channel,theta,O1,Pz,61,60,0.47900921363827104,0.42162680938211927,0.057382404256151764,0.5009949537456854,0.41157896792075166,0.5440218724218323,0.4874631888178937,2229.0,0.038842777238496155,0.2081757352037388,0.2081757352037388,0.21803278688524586,0.21803278688524586,0.13626114659152128,0.13940506449587434,0.2351714645958874,True,False,False,False,ADHD > Control
C4_Fz_alpha_connectivity,channel,alpha,C4,Fz,61,60,-0.12023227988853281,-0.07253526320161705,-0.04769701668691577,-0.1021295594095061,-0.06557036341878765,-0.12480192793979893,-0.07786167677634041,1607.0,0.2487241959983434,-0.20744461345940018,0.20744461345940018,-0.12185792349726776,0.12185792349726776,0.4776560156572961,0.47521606162811975,0.46230258169257304,False,False,False,False,Control > ADHD
Fp2_F3_alpha_connectivity,channel,alpha,Fp2,F3,61,60,0.15294046130100988,0.09587600084257691,0.05706446045843297,0.1622400580381424,0.14465954035559725,0.16464974615600275,0.10271010680311327,2061.0,0.23211585341846097,0.20617908821731903,0.20617908821731903,0.1262295081967213,0.1262295081967213,0.4505412275468251,0.4484950388085517,0.4361737465335915,False,False,False,False,ADHD > Control
Fp2_P3_delta_connectivity,channel,delta,Fp2,P3,61,60,-0.5816245603697782,-0.6334075076939153,0.05178294732413713,-0.5981131784580622,-0.6561460534603791,-0.7548416805335992,-0.8420929885982551,2115.0,0.14024868992344477,0.20605810150433826,0.20605810150433826,0.15573770491803285,0.15573770491803285,0.336225336107861,0.33659685581626747,0.6238719555367018,False,False,False,False,ADHD > Control
F8_Fz_alpha_connectivity,channel,alpha,F8,Fz,61,60,0.09410973399616683,0.14643646714518163,-0.0523267331490148,0.103074465552033,0.13327207696979576,0.10299758873495685,0.16057868410787937,1589.0,0.21248299960599615,-0.20544682330904587,0.20544682330904587,-0.13169398907103824,0.13169398907103824,0.4382840219793197,0.4377661799111487,0.41659979183485546,False,False,False,False,Control > ADHD
Fp1_O2_theta_connectivity,channel,theta,Fp1,O2,61,60,-0.47135040774224524,-0.43341102654573815,-0.03793938119650708,-0.4770119936959286,-0.4564376987737656,-0.5393506153051808,-0.48837898681541425,1665.0,0.393782339791963,-0.20500164356070974,0.20500164356070974,-0.0901639344262295,0.0901639344262295,0.6252158201960114,0.6249353141942057,0.6667007931131254,False,False,False,False,Control > ADHD
frontal_occipital_alpha_connectivity,regional,alpha,frontal,occipital,61,60,-0.6609153727929915,-0.6334642709997856,-0.027451101793205868,-0.676672143113081,-0.6514768667854689,-0.8213037020791645,-0.777419442976502,1642.0,0.33104478973148155,-0.2036285401575727,0.2036285401575727,-0.10273224043715845,0.10273224043715845,0.5666109403441907,0.6018996176936028,0.44011504848766575,False,False,False,False,Control > ADHD
F7_T8_delta_connectivity,channel,delta,F7,T8,61,60,-0.22842028939245743,-0.30744683833381004,0.07902654894135261,-0.2273329551932592,-0.3265203026146361,-0.28390852233583513,-0.3800470985786101,2146.0,0.10192930369610546,0.20335945983177933,0.20335945983177933,0.17267759562841523,0.17267759562841523,0.2743376054869158,0.2766652528894291,0.5998003556882329,False,False,False,False,ADHD > Control
F4_O1_delta_connectivity,channel,delta,F4,O1,61,60,-0.5900639655104631,-0.6284288642490844,0.038364898738621256,-0.5911888942727384,-0.6167272822854228,-0.7325223993749599,-0.7998097811556578,2110.0,0.14735287136747757,0.2030809678945779,0.2030809678945779,0.15300546448087426,0.15300546448087426,0.34084178552732836,0.34165886106899884,0.6238719555367018,False,False,False,False,ADHD > Control
F4_O2_delta_connectivity,channel,delta,F4,O2,61,60,-0.046430712623168044,0.03730045416292762,-0.08373116678609566,-0.1627645715567928,-0.01726861030066245,-0.03451300129715752,0.06359248188217241,1597.0,0.22808968841319477,-0.200026072343536,0.200026072343536,-0.1273224043715847,0.1273224043715847,0.4478222375728744,0.44585272528267084,0.7026161251106376,False,False,False,False,Control > ADHD
F7_F8_theta_connectivity,channel,theta,F7,F8,61,60,-0.00739244849922871,-0.05905839300754989,0.05166594450832118,0.0010221417739854,-0.0247973822857445,0.0009018477413814219,-0.07233549276305902,1931.0,0.6023680220388328,0.1994302290690315,0.1994302290690315,0.055191256830601,0.055191256830601,0.7787757999216338,0.7788652685719502,0.798487843167755,False,False,False,False,ADHD > Control
C4_Cz_delta_connectivity,channel,delta,C4,Cz,61,60,0.5919505984710574,0.649498430081731,-0.05754783161067367,0.6900878624708795,0.7297678977047752,0.8317167029745174,0.9416609314147876,1595.0,0.22411352343059665,-0.19916946091509377,0.19916946091509377,-0.12841530054644812,0.12841530054644812,0.44576426088942844,0.4443294203667481,0.7026161251106376,False,False,False,False,Control > ADHD
T7_Fz_theta_connectivity,channel,theta,T7,Fz,61,60,-0.11724185460814635,-0.06619906429353578,-0.051042790314610564,-0.1429965563099733,-0.1333678090488725,-0.12420387553030635,-0.06725408707771115,1728.0,0.5987615741071486,-0.19879571004576935,0.19879571004576935,-0.05573770491803276,0.05573770491803276,0.7754979958024607,0.7756684028206243,0.798487843167755,False,False,False,False,Control > ADHD
C3_F7_delta_connectivity,channel,delta,C3,F7,61,60,0.13822547234873508,0.2229017048255855,-0.08467623247685041,0.2133827027362379,0.24872822036346834,0.18563289740793285,0.29353866510631216,1613.0,0.26171392408025274,-0.19874784585001243,0.19874784585001243,-0.11857923497267764,0.11857923497267764,0.49602324878037424,0.49314689826692254,0.7299122753790029,False,False,False,False,Control > ADHD
F4_P3_delta_connectivity,channel,delta,F4,P3,61,60,-0.5701307443598709,-0.6083151498160859,0.03818440545621504,-0.5607850454205499,-0.6122408508855636,-0.7221053346532446,-0.8035835043729979,2042.0,0.27289105350789145,0.1975435103223056,0.1975435103223056,0.11584699453551917,0.11584699453551917,0.5105248649604998,0.5072214146722765,0.7299122753790029,False,False,False,False,ADHD > Control
F7_F8_delta_connectivity,channel,delta,F7,F8,61,60,-0.11227097552401351,-0.18072985280498413,0.06845887728097062,-0.0848875977975795,-0.20908177885788165,-0.12562002006734105,-0.22956325544913714,2037.0,0.28439037305336723,0.19670507723564992,0.19670507723564992,0.11311475409836058,0.11311475409836058,0.5199460355824188,0.5159761675557114,0.7318009440593803,False,False,False,False,ADHD > Control
F7_Pz_theta_connectivity,channel,theta,F7,Pz,61,60,-0.27809620801350043,-0.22843541139699428,-0.04966079661650616,-0.341172854645153,-0.3134662915609912,-0.2973903000740402,-0.24255912218113662,1629.0,0.2986167085675755,-0.1954889037747416,0.1954889037747416,-0.10983606557377046,0.10983606557377046,0.5312002383364242,0.527787670956645,0.5869362892535104,False,False,False,False,Control > ADHD
Fp2_O1_theta_connectivity,channel,theta,Fp2,O1,61,60,-0.43717192882461836,-0.47868896604945915,0.04151703722484079,-0.4616653862697769,-0.4993350930917249,-0.4963766974488587,-0.5422363344873613,2151.0,0.09661471704711366,0.19328734813374163,0.19328734813374163,0.1754098360655738,0.1754098360655738,0.26495854220496323,0.2675484472073917,0.39335991940610565,False,False,False,False,ADHD > Control
P3_P7_delta_connectivity,channel,delta,P3,P7,61,60,0.4479110157055103,0.49922296614079775,-0.05131195043528747,0.4191779021804804,0.4993645061305344,0.5585083237296147,0.6444893904008673,1583.0,0.20129483783194735,-0.19312518267699705,0.19312518267699705,-0.13497267759562837,0.13497267759562837,0.42120653927841006,0.42105709197875224,0.7026161251106376,False,False,False,False,Control > ADHD
F3_O2_theta_connectivity,channel,theta,F3,O2,61,60,-0.5701401069457661,-0.5358621447625505,-0.03427796218321566,-0.570711460107892,-0.5462604073360491,-0.6635750353918378,-0.6249690425323859,1555.0,0.15472892348537853,-0.19167424592034363,0.19167424592034363,-0.1502732240437158,0.1502732240437158,0.347899815538553,0.3481400778421017,0.44097743193332883,False,False,False,False,Control > ADHD
O2_Cz_theta_connectivity,channel,theta,O2,Cz,61,60,-0.0383380501603109,-0.08434869513290646,0.04601064497259556,-0.0451830055472711,-0.10758137397451065,-0.03773685542869033,-0.08928099036490651,2041.0,0.27516509357577046,0.18967043005651213,0.18967043005651213,0.1153005464480874,0.1153005464480874,0.5108193019201482,0.507312463627566,0.5809040864377377,False,False,False,False,ADHD > Control
T8_Fz_delta_connectivity,channel,delta,T8,Fz,61,60,-0.335122799897941,-0.38449602752555595,0.049373227627614924,-0.3026101167202625,-0.3887610551078503,-0.39549291302650214,-0.468658779701005,2036.0,0.2867290248653712,0.18855249191508347,0.18855249191508347,0.11256830601092904,0.11256830601092904,0.5215874723681627,0.5174740184905381,0.7318009440593803,False,False,False,False,ADHD > Control
C3_Fz_beta_connectivity,channel,beta,C3,Fz,61,60,0.16046253386557516,0.12079065926635615,0.039671874599219004,0.1357704550728878,0.130515355135005,0.17040179476531586,0.1283220806765326,1978.0,0.4444805193945519,0.1882378686448606,0.1882378686448606,0.08087431693989067,0.08087431693989067,0.6704247834201158,0.6741123620085887,0.5315116700452334,False,False,False,False,ADHD > Control
